Well Name,Depth,Quartz,K-Feldspar,Plagioclase,Chlorite,IlliteSmectiteMica,Calcite,Ankerite/Dolomite,Pyrite,Organics,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl,Zr
Well 1,5091.16,51.5,2.11,4.37,2.14,21.71,13.75,0.86,1.36,2.2,4.78,58.66,0.38,1.43,0.12,0.115,10.02,0.7,1.06,0.08,0.8,0.06,133.74
Well 1,5109.45,46.7,5.0,3.84,3.5,21.68,14.69,0.39,1.3,2.91,4.86,60.87,0.38,1.39,0.11,0.13,9.38,0.71,1.08,0.09,0.74,0.09,142.14
Well 1,5127.74,47.97,4.92,3.9,2.58,20.82,14.94,0.79,1.33,2.75,4.83,58.12,0.38,1.42,0.12,0.145,9.28,0.68,1.09,0.09,0.8,0.08,136.24
Well 1,5146.02,47.96,0.0,3.34,1.25,11.18,30.93,2.93,1.06,1.35,4.38,54.55,0.32,1.53,0.13,0.16,13.94,0.7,0.92,0.07,1.03,0.07,122.68
Well 1,5164.31,48.05,3.51,3.55,2.7,16.29,17.7,4.81,1.4,2.0,4.3,54.47,0.37,1.75,0.17,0.32,10.82,0.66,0.98,0.08,0.8,0.07,161.16
Well 1,5182.6,46.83,5.07,3.88,2.69,17.08,16.76,3.66,1.42,2.61,4.49,56.63,0.36,1.72,0.15,0.37,10.66,0.71,1.0,0.09,0.78,0.05,176.2
Well 1,5200.89,48.78,1.28,4.97,1.53,14.53,22.58,2.89,1.4,2.03,4.3,53.73,0.34,1.62,0.17,0.26,11.34,0.71,0.96,0.07,0.73,0.08,150.84
Well 1,5219.18,47.25,3.67,3.41,2.31,15.0,23.36,1.81,1.17,2.03,3.8,47.88,0.33,1.55,0.14,0.18,16.26,0.57,0.86,0.07,0.63,0.05,110.0
Well 1,5228.32,44.11,3.27,3.23,2.61,15.31,24.42,3.3,1.39,2.35,3.56,49.29,0.33,1.53,0.16,0.29,16.93,0.6,0.83,0.06,0.65,0.06,110.59
Well 1,5237.46,48.25,1.25,4.48,1.99,15.84,21.41,3.68,1.39,1.7,4.01,49.93,0.34,1.71,0.17,0.29,16.75,0.67,0.87,0.06,0.77,0.06,114.72
Well 1,5246.61,41.16,0.0,3.56,1.37,6.41,35.88,9.79,1.05,0.79,2.49,37.22,0.29,1.66,0.2,0.69,22.76,0.51,0.58,0.04,0.66,0.07,176.79
Well 1,5255.75,42.33,0.0,3.37,1.96,8.22,33.51,8.61,0.75,1.25,2.59,38.4,0.3,1.72,0.2,0.7,23.88,0.51,0.61,0.04,0.62,0.07,153.64
Well 1,5264.9,38.02,1.18,2.77,2.14,9.15,36.09,8.05,1.1,1.5,2.72,40.96,0.31,1.69,0.22,0.8,24.36,0.55,0.64,0.04,0.66,0.07,173.4
Well 1,5274.04,36.94,1.2,3.31,2.76,11.41,32.73,8.76,1.42,1.46,2.47,40.57,0.28,1.73,0.19,0.79,23.75,0.58,0.6,0.02,0.73,0.07,169.57
Well 1,5292.33,45.71,3.69,1.9,1.95,13.3,27.81,2.45,1.13,2.06,3.58,48.38,0.34,1.55,0.14,0.1,16.37,0.52,0.73,0.05,1.17,0.05,61.93
Well 1,5296.9,43.47,5.72,0.15,2.73,14.97,27.17,2.27,1.23,2.28,2.96,46.61,0.31,1.34,0.13,0.08,15.23,0.59,0.69,0.06,1.07,0.07,130.64
Well 1,5319.76,42.33,2.44,2.88,2.19,14.07,29.87,2.67,1.42,2.12,3.66,39.07,0.27,1.64,0.15,0.24,18.83,0.53,0.81,0.07,0.7,0.06,124.89
Well 1,5338.05,40.87,1.85,2.92,2.25,15.05,31.48,1.6,1.7,2.28,3.43,40.32,0.28,1.59,0.16,0.17,20.5,0.53,0.78,0.06,0.65,0.08,148.93
Well 1,5356.34,45.26,2.06,2.81,1.34,9.53,34.64,1.58,1.23,1.54,2.33,51.17,0.26,1.09,0.11,0.03,18.54,0.59,0.6,0.05,0.78,0.07,91.57
Well 1,5374.62,44.62,5.06,2.9,2.35,16.14,24.45,0.09,1.44,2.95,2.18,46.85,0.26,1.15,0.13,0.03,18.72,0.57,0.61,0.06,0.64,0.09,138.46
Well 1,5392.91,46.92,2.2,3.95,1.42,13.35,28.15,0.16,1.33,2.53,2.28,44.77,0.25,1.17,0.12,0.03,18.85,0.55,0.57,0.04,0.71,0.09,149.22
Well 1,5411.2,48.07,3.03,2.58,1.55,12.97,27.78,0.47,1.34,2.2,2.14,47.14,0.24,1.1,0.12,0.03,19.31,0.55,0.59,0.06,0.64,0.08,133.74
Well 1,5429.49,45.58,3.42,1.57,2.43,20.23,22.33,0.0,1.59,2.85,3.13,52.22,0.27,1.21,0.12,0.02,13.95,0.61,0.82,0.07,0.71,0.09,65.62
Well 1,5447.78,51.09,1.86,7.99,2.32,7.8,25.38,0.0,1.26,2.3,2.3,50.89,0.33,1.11,0.15,0.03,17.53,0.68,0.57,0.08,0.6,0.07,312.6
Well 1,5466.06,49.16,4.43,8.08,3.0,8.82,23.02,0.0,1.0,2.48,2.29,48.41,0.32,1.08,0.15,0.03,17.25,0.64,0.54,0.08,0.51,0.06,328.67
Well 1,5484.35,46.0,3.9,4.83,2.63,15.55,22.95,0.0,1.28,2.86,2.61,49.16,0.3,1.17,0.13,0.02,14.22,0.61,0.63,0.08,0.61,0.06,145.09
Well 1,5502.64,47.54,5.05,4.08,2.63,15.07,21.94,0.0,1.1,2.59,2.7,49.47,0.28,1.2,0.13,0.02,14.01,0.6,0.67,0.08,0.64,0.07,115.16
